Drone Name,Unfolded Size,Folded Size,Max Altitude,Max Flight Time,Max Flight Distance,Camera Sensor,Camera Resolution,Battery Capacity,Battery Type
DJI Mavic 3 Pro,Unfolded (without propellers): 347.5 mm × 290.8 mm × 107.7 mm (L×W×H),Folded (without propellers): 231.1 mm × 98 mm × 95.4 mm (L×W×H),6000 m,43 minutes,28 km,Hasselblad Camera: 4/3 CMOS Effective Pixels: 20 MP,Upto 4K@120fps,5000 mAh,Li-ion 4S
DJI Mavic 3 Classic,Unfolded (without propellers): 347.5 mm × 290.8 mm × 107.7 mm (L×W×H),Folded (without propellers): 231.1 mm × 96 mm × 90.3 mm (L×W×H),6000 m,46 minutes,30 km,Hasselblad Camera: 4/3 CMOS Effective Pixels: 20 MP,Upto 4K@120fps,5000 mAh,Li-ion 4S
DJI Air 3,Unfolded (without propellers): 258.8 mm × 326 mm × 105.8 mm (L×W×H),Folded (without propellers): 207 mm × 100.5 mm × 91.1 mm (L×W×H),6000 m,46 minutes,32 km,Wide-Angle Camera: 1/1.3-inch CMOS Effective Pixels: 48 MP,Upto 4K@100fps,4241 mAh,Li-ion 4S
DJI Neo,Unfolded (with propellers): 130 mm × 157 mm × 48.5 mm (L×W×H),N/A,2000 m,18 minutes,7 km,1/2-inch image sensor,Upto 4K@30fps,1435 mAh, Li-ion
DJI Mini 4 Pro,Unfolded (with propellers): 298 mm × 373 mm × 101 mm (L×W×H),Folded (without propellers): 148 mm × 94 mm × 64 mm (L×W×H),4000 m,45 minutes,25 km,1/1.3-inch CMOS Effective Pixels: 48 MP,Upto 4K@100fps,2590 mAh,Li-ion
DJI Mini 2 SE,Unfolded (with propellers): 245 mm × 289 mm × 56 mm (L×W×H),Folded (without propellers): 138 mm × 81 mm × 58 mm (L×W×H),4000 m,31 minutes,15.7 km,1/2.3-inch CMOS Effective Pixels: 12 MP,Upto 2.7K@30fps,2250 mAh,Li-ion
DJI Inspire 3, Unfolded: Approx. 3995 g (includes gimbal camera & two batteries & lens & PROSSD & propellers), Folded: N/A,3800 m,28 minutes,25 km,35mm full-frame CMOS,Upto 4K@30fps,4280 mAh,Li-ion





